NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
673,환경부,온세미컨덕터코리아(주),경기도,2019,업체,반도체,"141,227",tCO₂eq,25.75,tCO2eq/억원,"1,914",TJ,0.35,TJ/억원,(주)비에스아이그룹코리아,"548,462,925,713"
674,환경부,와이케이스틸(주),부산광역시,2019,업체,철강,"359,502",tCO₂eq,-,-,"6,654",TJ,-,-,한국표준협회,-
675,국토교통부,용남고속(주),경기도,2019,사업장,교통(여객),"28,033",tCO₂eq,-,-,502,TJ,-,-,한국표준협회,-
676,환경부,용산화학(주),울산광역시,2019,사업장,석유화학,"114,017",tCO₂eq,-,-,969,TJ,-,-,한국가스안전공사,-
677,환경부,용인시,경기도,2019,업체,폐기물,"169,296",tCO₂eq,-,-,"1,778",TJ,-,-,㈜한국품질보증원,-
678,산업통상자원부,우지막코리아(주),충청북도,2019,사업장,자동차,"17,370",tCO₂eq,-,-,348,TJ,-,-,한국표준협회,-
679,산업통상자원부,욱성화학(주),부산광역시,2019,사업장,석유화학,"14,503",tCO₂eq,-,-,289,TJ,-,-,한국표준협회,-
680,국토교통부,울산과학기술원,울산광역시,2019,사업장,건물,"31,976",tCO₂eq,-,-,656,TJ,-,-,(주)비에스아이그룹코리아,-
681,환경부,울산광역시,울산광역시,2019,업체,폐기물,"306,355",tCO₂eq,-,-,"2,998",TJ,-,-,㈜한국품질보증원,-
682,환경부,울산아로마틱스(주),울산광역시,2019,업체,석유화학,"458,655",tCO₂eq,152.61,tCO2eq/억원,"10,573",TJ,3.52,TJ/억원,(재)한국품질재단,"300,546,278,000"
683,환경부,울산알루미늄 주식회사,울산광역시,2019,업체,비철금속,"170,280",tCO₂eq,20.22,tCO2eq/억원,"3,349",TJ,0.4,TJ/억원,(주)한국경영인증원,"842,301,869,000"
684,환경부,웅진에너지 주식회사,대전광역시,2019,사업장,반도체,"24,732",tCO₂eq,-,-,509,TJ,-,-,한국표준협회,-
685,환경부,원주시,강원도,2019,업체,폐기물,"53,554",tCO₂eq,-,-,646,TJ,-,-,(재)한국화학융합시험연구원,-
686,환경부,월산페이퍼 주식회사,경남,2019,업체,제지,"179,157",tCO₂eq,92.29,tCO2eq/억원,"2,805",TJ,1.44,TJ/억원,이큐에이㈜,"194,131,373,315"
687,환경부,유니드,서울특별시,2019,업체,석유화학,"360,497",tCO₂eq,65.69,tCO2eq/억원,"8,871",TJ,1.62,TJ/억원,로이드인증원㈜,"548,765,401,000"
688,산업통상자원부,유성기업(주) 영동공장,충청북도,2019,사업장,자동차,"17,698",tCO₂eq,-,-,359,TJ,-,-,(주)비에스아이그룹코리아,-
689,환경부,유한킴벌리 주식회사,서울특별시,2019,업체,제지,"202,435",tCO₂eq,15.18,tCO2eq/억원,"4,074",TJ,0.31,TJ/억원,(재)한국품질재단,"1,333,184,136,266"
690,환경부,유한회사 스태츠칩팩코리아,인천광역시,2019,사업장,반도체,"65,118",tCO₂eq,-,-,"1,335",TJ,-,-,(주)신화엔지니어링종합건축사사무소,-
691,산업통상자원부,유한회사 클라리오스델코 제1공장,경상북도,2019,사업장,반도체.디스플레이.전기전자,"22,981",tCO₂eq,-,-,467,TJ,-,-,(주)한국경영인증원,-
692,산업통상자원부,유한회사 클라리오스델코 제2공장,경상북도,2019,사업장,반도체.디스플레이.전기전자,"22,933",tCO₂eq,-,-,471,TJ,-,-,(주)한국경영인증원,-
693,환경부,율촌화학(주),서울특별시,2019,사업장,석유화학,"52,152",tCO₂eq,-,-,891,TJ,-,-,한국가스안전공사,-
694,국토교통부,의료법인 길의료재단,인천광역시,2019,사업장,건물,"22,974",tCO₂eq,-,-,465,TJ,-,-,(재)한국화학융합시험연구원,-
695,환경부,의정부시,경기도,2019,업체,폐기물,"71,300",tCO₂eq,-,-,738,TJ,-,-,㈜한국품질보증원,-
696,산업통상자원부,이건에너지(주),인천광역시,2019,사업장,발전에너지,"16,333",tCO₂eq,-,-,"2,658",TJ,-,-,㈜한국품질보증원,-
697,환경부,이구산업(주),경기도,2019,사업장,비철금속,"31,227",tCO₂eq,-,-,633,TJ,-,-,한국생산성본부인증원(주),-
698,환경부,이래에이엠에스 주식회사,대구광역시,2019,사업장,자동차,"22,016",tCO₂eq,-,-,448,TJ,-,-,㈜한국품질보증원,-
699,환경부,이스트만화이버코리아 주식회사,울산광역시,2019,사업장,섬유,"51,614",tCO₂eq,-,-,866,TJ,-,-,(주)한국경영인증원,-
